population,name,state
4779736,AL,01
710231,AK,02
6392017,AZ,04
2915918,AR,05
37253956,CA,06
5029196,CO,08
3574097,CT,09
897934,DE,10
18801310,FL,12
9687653,GA,13
1360301,HI,15
1567582,ID,16
12830632,IL,17
6483802,IN,18
3046355,IA,19
2853118,KS,20
4339367,KY,21
4533372,LA,22
1328361,ME,23
5773552,MD,24
6547629,MA,25
9883640,MI,26
5303925,MN,27
2967297,MS,28
5988927,MO,29
989415,MT,30
1826341,NE,31
2700551,NV,32
1316470,NH,33
8791894,NJ,34
2059179,NM,35
19378102,NY,36
9535483,NC,37
672591,ND,38
11536504,OH,39
3751351,OK,40
3831074,OR,41
12702379,PA,42
1052567,RI,44
4625364,SC,45
814180,SD,46
6346105,TN,47
25145561,TX,48
2763885,UT,49
625741,VT,50
8001024,VA,51
6724540,WA,53
1852994,WV,54
5686986,WI,55
563626,WY,56
